,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,City
3522,2013,Honda,Brio,"1,07,323",2nd Owner,Petrol,"₹2,67,099",Manual,1.2 S MT I VTEC Manual,Rajkot
3523,2016,Hyundai,Creta,"1,27,980",1st Owner,Diesel,"₹7,53,299",Manual,1.6 SX PLUS DIESEL Manual,Rajkot
3524,2017,Maruti,Baleno,"52,174",1st Owner,Petrol,"₹5,30,099",Manual,DELTA 1.2 K12 Manual,Rajkot
3525,2020,Maruti,Vitara Brezza,"7,848",1st Owner,Petrol,"₹8,09,699",Manual,VXI Manual,Rajkot
3526,2020,Maruti,Baleno,"6,099",1st Owner,Petrol,"₹6,45,399",Manual,DELTA 1.2 K12 Manual,Rajkot
3527,2015,Honda,Brio,"65,109",1st Owner,Petrol,"₹3,63,299",Manual,1.2 S MT I VTEC Manual,Rajkot
3528,2018,Maruti,Wagon R 1.0,"51,370",1st Owner,Petrol,"₹3,95,799",Manual,VXI Manual,Rajkot
3529,2017,Maruti,Eeco,"26,814",1st Owner,Petrol,"₹3,75,299",Manual,5 STR WITH AC PLUSHTR Manual,Rajkot
3530,2017,Hyundai,Grand i10,"17,083",1st Owner,Petrol,"₹4,54,499",Manual,MAGNA 1.2 VTVT Manual,Rajkot
3531,2016,Maruti,Swift,"80,186",1st Owner,Petrol,"₹4,55,699",Manual,VXI Manual,Rajkot
3532,2018,Maruti,Celerio,"10,225",1st Owner,Petrol,"₹4,63,999",Automatic,ZXI AMT Automatic,Rajkot
3533,2019,Hyundai,Grand i10,"18,037",1st Owner,Petrol,"₹5,42,399",Manual,SPORTZ 1.2 KAPPA VTVT Manual,Rajkot
3534,2019,Maruti,Alto K10,"10,200",1st Owner,Petrol,"₹3,71,999",Manual,VXI Manual,Rajkot
3535,2019,Maruti,XL6,"27,117",2nd Owner,Petrol,"₹7,94,499",Manual,ALPHA SHVS MT Manual,Rajkot
3536,2018,Maruti,Celerio,"8,663",1st Owner,Petrol,"₹4,27,699",Manual,ZXI Manual,Rajkot
3537,2017,Maruti,Swift,"69,894",1st Owner,Diesel,"₹4,74,699",Manual,VDI ABS Manual,Rohtak
3538,2014,Maruti,Swift,"71,450",2nd Owner,Diesel,"₹3,30,599",Manual,VDI Manual,Rohtak
3539,2019,Maruti,Vitara Brezza,"31,245",1st Owner,Diesel,"₹7,89,499",Manual,VDI Manual,Rohtak
3540,2017,Toyota,Innova Crysta,"85,295",1st Owner,Diesel,"₹14,99,499",Automatic,Touring Sport Diesel AT Automatic,Rohtak
3541,2017,Maruti,Wagon R 1.0,"4,956",1st Owner,Petrol,"₹3,89,199",Manual,VXI Manual,Rohtak
3542,2015,Maruti,Swift,"37,925",1st Owner,Diesel,"₹4,05,199",Manual,VDI ABS Manual,Rohtak
3543,2020,KIA,SELTOS,"5,822",2nd Owner,Petrol,"₹11,36,999",Manual,HTK 1.5 PETROL Manual,Rohtak
3544,2017,Ford,New Figo,"41,678",2nd Owner,Diesel,"₹4,82,799",Manual,1.5 TITANIUM Manual,Rohtak
3545,2020,Maruti,New Wagon-R,"6,879",1st Owner,Petrol,"₹4,90,799",Manual,LXI 1.0 L Manual,Rohtak
3546,2019,Honda,Civic,"15,416",1st Owner,Petrol,"₹15,20,999",Automatic,VX CVT i-VTEC Automatic,Rohtak
3547,2016,Maruti,Vitara Brezza,"70,555",2nd Owner,Diesel,"₹6,35,399",Manual,ZDI Manual,Rohtak
3548,2019,Hyundai,GRAND I10 NIOS,"3,747",1st Owner,Petrol,"₹6,22,699",,Asta Petrol,Rohtak
3549,2014,Toyota,Innova,"86,859",1st Owner,Diesel,"₹7,08,499",Manual,2.5 GX 7 STR BS IV Manual,Rohtak
3550,2016,Hyundai,Creta,"95,195",1st Owner,Diesel,"₹8,62,499",Manual,1.6 SX PLUS DIESEL Manual,Rohtak
3551,2018,Datsun,Redi Go,"21,607",1st Owner,Petrol,"₹3,40,399",,1.0 S AT,Rohtak
3552,2018,Ford,Ecosport,"21,169",1st Owner,Diesel,"₹8,67,799",Manual,1.5TITANIUM TDCI Manual,Rohtak
3553,2013,Maruti,Swift Dzire,"49,944",2nd Owner,Diesel,"₹3,54,299",Manual,LDI BS IV Manual,Rohtak
3554,2017,Tata,Tiago,"80,573",1st Owner,Petrol,"₹4,59,599",Manual,XT 1.2 REVOTRON Manual,Rohtak
3555,2014,Ford,Ecosport,"62,254",1st Owner,Diesel,"₹5,40,099",Manual,1.5TITANIUM TDCI Manual,Rohtak
3556,2017,Maruti,Vitara Brezza,"34,749",1st Owner,Diesel,"₹8,34,399",Manual,VDI OPT Manual,Rohtak
3557,2017,Maruti,Vitara Brezza,"83,741",1st Owner,Diesel,"₹7,03,399",Manual,VDI OPT Manual,Rohtak
3558,2018,Maruti,Vitara Brezza,"71,192",1st Owner,Diesel,"₹7,20,399",Manual,VDI OPT Manual,Rohtak
3559,2018,Maruti,Vitara Brezza,"54,687",1st Owner,Diesel,"₹7,54,299",Manual,ZDI Manual,Rohtak
3560,2015,Maruti,Swift Dzire,"61,732",1st Owner,Petrol,"₹4,76,699",Manual,VXI 1.2 BS IV Manual,Rohtak
3561,2015,Maruti,Swift,"53,260",1st Owner,Diesel,"₹5,98,999",Manual,VDI ABS Manual,Rohtak
3562,2015,Maruti,Swift,"76,264",1st Owner,Diesel,"₹4,55,299",Manual,VDI ABS Manual,Rohtak
3563,2012,Maruti,Swift Dzire,"54,918",1st Owner,Diesel,"₹4,55,499",Manual,VDI BS IV Manual,Rohtak
3564,2015,Maruti,Swift,"1,04,005",1st Owner,Diesel,"₹4,04,899",Manual,VDI ABS Manual,Rohtak
3565,2014,Maruti,Swift,"41,996",1st Owner,Diesel,"₹4,12,299",Manual,VDI Manual,Rohtak
3566,2017,Maruti,Alto 800,"63,567",1st Owner,Petrol,"₹3,49,399",Manual,LXI Manual,Rohtak
3567,2014,Maruti,Swift,"1,02,773",1st Owner,Diesel,"₹4,30,299",Manual,VDI Manual,Rohtak
3568,2019,Maruti,Alto K10,"8,574",1st Owner,Petrol,"₹4,14,799",Manual,VXI Manual,Rohtak
3569,2017,Ford,Ecosport,"40,139",1st Owner,Petrol,"₹6,69,799",Automatic,1.5 TITANIUM TI VCT AT Automatic,Rohtak
3570,2015,Honda,Amaze,"62,462",1st Owner,Petrol,"₹4,89,699",Manual,1.2 SMT I VTEC Manual,Rohtak
3571,2015,Maruti,Swift,"56,552",1st Owner,Diesel,"₹4,68,599",Manual,VDI ABS Manual,Rohtak
3572,2011,Hyundai,i20,"44,007",1st Owner,Petrol,"₹2,58,999",Manual,MAGNA O 1.2 Manual,Rohtak
3573,2011,Hyundai,i10,"55,623",1st Owner,Petrol,"₹1,88,799",Manual,ERA 1.1 IRDE Manual,Rohtak
3574,2016,Hyundai,Grand i10,"26,951",1st Owner,Petrol,"₹4,15,399",Manual,MAGNA 1.2 KAPPA VTVT Manual,Rohtak
3575,2009,Maruti,Wagon R,"36,035",1st Owner,Petrol,"₹1,48,199",Manual,LXI MINOR Manual,Rohtak
3576,2020,Maruti,Alto,"19,593",1st Owner,Petrol + CNG,"₹3,54,799",Manual,LXI Manual,Rohtak
3577,2009,Maruti,Alto,"1,19,227",1st Owner,Petrol,"₹1,26,399",Manual,LXI Manual,Rohtak
3578,2014,Ssangyong,Rexton,"45,187",2nd Owner,Diesel,"₹6,48,399",Manual,RX 6 Manual,Rohtak
3579,2013,Hyundai,Eon,"1,06,269",1st Owner,Petrol,"₹1,93,699",Manual,D LITE PLUS Manual,Rohtak
3580,2016,Maruti,Vitara Brezza,"41,629",1st Owner,Diesel,"₹7,84,299",Manual,VDI OPT Manual,Rohtak
3581,2020,Hyundai,Verna,"19,158",1st Owner,Petrol,"₹8,86,899",Manual,S PETROL MT Manual,Rohtak
3582,2019,Maruti,Baleno,"19,525",1st Owner,Petrol,"₹6,44,499",Manual,DELTA 1.2 K12 Manual,Rohtak
3583,2016,Volkswagen,Vento,"19,369",1st Owner,Petrol,"₹5,73,799",Manual,COMFORTLINE MT PETROL Manual,Rohtak
3584,2018,Maruti,Vitara Brezza,"28,144",1st Owner,Diesel,"₹9,13,699",Automatic,ZDI + AMT Automatic,Rohtak
